ENABLE_QCN			Yes
PACKET_PAYLOAD_SIZE		1000
TOPOLOGY_FILE			mix/1/topology.txt
FLOW_FILE			mix/1/flow.txt
TRACE_FILE			mix/1/trace.txt
TRACE_OUTPUT_FILE		mix/1/mix.tr
FCT_OUTPUT_FILE		mix/1/fct.txt
PFC_OUTPUT_FILE				mix/1/pfc.txt
SIMULATOR_STOP_TIME		4
CC_MODE		13
ALPHA_RESUME_INTERVAL		1
RATE_DECREASE_INTERVAL		4
CLAMP_TARGET_RATE		No
RP_TIMER			900
EWMA_GAIN			0.00390625
FAST_RECOVERY_TIMES		1
RATE_AI				250Mb/s
RATE_HAI			100Mb/s
MIN_RATE		100Mb/s
DCTCP_RATE_AI				1000Mb/s
ERROR_RATE_PER_LINK		0
L2_CHUNK_SIZE			4000
L2_ACK_INTERVAL			1
L2_BACK_TO_ZERO			No
HAS_WIN		1
GLOBAL_T		0
VAR_WIN		1
FAST_REACT		1
U_TARGET		0.95
MI_THRESH		0
INT_MULTI				1
MULTI_RATE				0
SAMPLE_FEEDBACK				0
PINT_LOG_BASE				1.05
PINT_PROB				1
RATE_BOUND		1
ACK_HIGH_PRIO		0
LINK_DOWN				0 0 0
ENABLE_TRACE				1
KMAX_MAP				 25000000000 400 50000000000 800 100000000000 1600
KMIN_MAP				 25000000000 100 50000000000 200 100000000000 400
PMAX_MAP				 25000000000 0.2 50000000000 0.2 100000000000 0.2
BUFFER_SIZE				32
QLEN_MON_FILE				mix/1/qlen.txt
QLEN_MON_START				0
QLEN_MON_END				0
maxRtt=6240 maxBdp=78000
Running Simulation.
25184 9 0
25192 8 0
25200 78000 78000
25268 9 0
25276 8 0
25284 78000 78000
25352 9 0
25360 8 0
25368 78000 78000
25436 9 0
25444 8 0
25452 78000 78000
25520 9 0
25528 8 0
25536 78000 78000
25604 9 0
25612 8 0
25620 78000 78000
25688 9 0
25696 8 0
25704 78000 78000
25772 9 0
25780 8 0
25788 78000 78000
25856 9 0
25864 8 0
25872 78000 78000
25940 9 0
25948 8 0
25956 78000 78000
26024 9 0
26032 8 0
26040 78000 78000
26108 9 0
26116 8 0
26124 78000 78000
26192 9 0
26200 8 0
26208 78000 78000
26276 9 0
26284 8 0
26292 78000 78000
26360 9 0
26368 8 0
26376 78000 78000
26444 9 0
26452 8 0
26460 78000 78000
26528 9 0
26536 8 0
26544 78000 78000
26612 9 0
26620 8 0
26628 78000 78000
26696 9 0
26704 8 0
26712 78000 78000
26780 9 0
26788 8 0
26796 78000 78000
26864 9 0
26872 8 0
26880 78000 78000
26948 9 0
26956 8 0
26964 78000 78000
27032 9 0
27040 8 0
27048 78000 78000
27116 9 0
27124 8 0
27132 78000 78000
27200 9 0
27208 8 0
27216 78000 78000
27284 9 0
27292 8 0
27300 78000 78000
27368 9 0
27376 8 0
27384 78000 78000
27452 9 0
27460 8 0
27468 78000 78000
27536 9 0
27544 8 0
27552 78000 78000
27620 9 0
27628 8 0
27636 78000 78000
27704 9 0
27712 8 0
27720 78000 78000
27788 9 0
27796 8 0
27804 78000 78000
27872 9 0
27880 8 0
27888 78000 78000
27956 9 0
27964 8 0
27972 78000 78000
28040 9 0
28048 8 0
28056 78000 78000
28124 9 0
28132 8 0
28140 78000 78000
28208 9 0
28216 8 0
28224 78000 78000
28292 9 0
28300 8 0
28308 78000 78000
28376 9 0
28384 8 0
28392 78000 78000
28460 9 0
28468 8 0
28476 78000 78000
28544 9 0
28552 8 0
28560 78000 78000
28628 9 0
28636 8 0
28644 78000 78000
28712 9 0
28720 8 0
28728 78000 78000
28796 9 0
28804 8 0
28812 78000 78000
28880 9 0
28888 8 0
28896 78000 78000
28964 9 0
28972 8 0
28980 78000 78000
29048 9 0
29056 8 0
29064 78000 78000
29132 9 0
29140 8 0
29148 78000 78000
29216 9 0
29224 8 0
29232 78000 78000
29300 9 0
29308 8 0
29316 78000 78000
29384 9 0
29392 8 0
29400 78000 78000
29468 9 0
29476 8 0
29484 78000 78000
29552 9 0
29560 8 0
29568 78000 78000
29636 9 0
29644 8 0
29652 78000 78000
29720 9 0
29728 8 0
29736 78000 78000
29804 9 0
29812 8 0
29820 78000 78000
29888 9 0
29896 8 0
29904 78000 78000
29972 9 0
29980 8 0
29988 78000 78000
30056 9 0
30064 8 0
30072 78000 78000
30140 9 0
30148 8 0
30156 78000 78000
30224 9 0
30232 8 0
30240 78000 78000
30308 9 0
30316 8 0
30324 78000 78000
30392 9 0
30400 8 0
30408 78000 78000
30476 9 0
30484 8 0
30492 78000 78000
30560 9 0
30568 8 0
30576 78000 78000
30644 9 0
30652 8 0
30660 78000 78000
30728 9 0
30736 8 0
30744 78000 78000
30812 9 0
30820 8 0
30828 78000 78000
30896 9 0
30904 8 0
30912 78000 78000
30980 9 0
30988 8 0
30996 78000 78000
31064 9 0
31072 8 0
31080 78000 78000
31148 9 0
31156 8 0
31164 78000 78000
31232 9 0
31240 8 0
31248 78000 78000
31316 9 0
31324 8 0
31332 78000 78000
31400 9 0
31408 8 0
31416 78000 78000
31484 9 0
31492 8 0
31500 78000 78000
31568 9 0
31576 8 0
31584 78000 78000
31652 9 0
31660 8 0
31668 78000 78000
31736 9 0
31744 8 0
31752 78000 78000
31820 9 0
31828 8 0
31836 78000 78000
31904 9 0
31912 8 0
31920 78000 78000
31988 9 0
31996 8 0
32004 78000 78000
32072 9 0
32080 8 0
32088 78000 78000
32156 9 0
32164 8 0
32172 78000 78000
32240 9 0
32248 8 0
32256 78000 78000
32324 9 0
32332 8 0
32340 78000 78000
32408 9 0
32416 8 0
32424 78000 78000
32492 9 0
32500 8 0
32508 78000 78000
32576 9 0
32584 8 0
32592 78000 78000
32660 9 0
32668 8 0
32676 78000 78000
32744 9 0
32752 8 0
32760 78000 78000
32828 9 0
32836 8 0
32844 78000 78000
32912 9 0
32920 8 0
32928 78000 78000
32996 9 0
33004 8 0
33012 78000 78000
33080 9 0
33088 8 0
33096 78000 78000
33164 9 0
33172 8 0
33180 78000 78000
33248 9 0
33256 8 0
33264 78000 78000
33332 9 0
33340 8 0
33348 78000 78000
33416 9 0
33424 8 0
33432 78000 78000
33500 9 0
33508 8 0
33516 78000 78000
33584 9 0
33592 8 0
33600 78000 78000
33668 9 0
33676 8 0
33684 78000 78000
33752 9 0
33760 8 0
33768 78000 78000
33836 9 0
33844 8 0
33852 78000 78000
33920 9 0
33928 8 0
33936 78000 78000
34004 9 0
34012 8 0
34020 78000 78000
34088 9 0
34096 8 0
34104 78000 78000
34172 9 0
34180 8 0
34188 78000 78000
34256 9 0
34264 8 0
34272 78000 78000
34340 9 0
34348 8 0
34356 78000 78000
34424 9 0
34432 8 0
34440 78000 78000
34508 9 0
34516 8 0
34524 78000 78000
34592 9 0
34600 8 0
34608 78000 78000
34676 9 0
34684 8 0
34692 78000 78000
34760 9 0
34768 8 0
34776 78000 78000
34844 9 0
34852 8 0
34860 78000 78000
34928 9 0
34936 8 0
34944 78000 78000
35012 9 0
35020 8 0
35028 78000 78000
35096 9 0
35104 8 0
35112 78000 78000
35180 9 0
35188 8 0
35196 78000 78000
35264 9 0
35272 8 0
35280 78000 78000
35348 9 0
35356 8 0
35364 78000 78000
35432 9 0
35440 8 0
35448 78000 78000
35516 9 0
35524 8 0
35532 78000 78000
35600 9 0
35608 8 0
35616 78000 78000
35684 9 0
35692 8 0
35700 78000 78000
35768 9 0
35776 8 0
35784 78000 78000
35852 9 0
35860 8 0
35868 78000 78000
35936 9 0
35944 8 0
35952 78000 78000
36020 9 0
36028 8 0
36036 78000 78000
36104 9 0
36112 8 0
36120 78000 78000
36188 9 0
36196 8 0
36204 78000 78000
36272 9 0
36280 8 0
36288 78000 78000
36356 9 0
36364 8 0
36372 78000 78000
36440 9 0
36448 8 0
36456 78000 78000
36524 9 0
36532 8 0
36540 78000 78000
36608 9 0
36616 8 0
36624 78000 78000
36692 9 0
36700 8 0
36708 78000 78000
36776 9 0
36784 8 0
36792 78000 78000
36860 9 0
36868 8 0
36876 78000 78000
36944 9 0
36952 8 0
36960 78000 78000
37028 9 0
37036 8 0
37044 78000 78000
37112 9 0
37120 8 0
37128 78000 78000
37196 9 0
37204 8 0
37212 78000 78000
37280 9 0
37288 8 0
37296 78000 78000
37364 9 0
37372 8 0
37380 78000 78000
37448 9 0
37456 8 0
37464 78000 78000
37532 9 0
37540 8 0
37548 78000 78000
37616 9 0
37624 8 0
37632 78000 78000
37700 9 0
37708 8 0
37716 78000 78000
37784 9 0
37792 8 0
37800 78000 78000
37868 9 0
37876 8 0
37884 78000 78000
37952 9 0
37960 8 0
37968 78000 78000
38036 9 0
38044 8 0
38052 78000 78000
38120 9 0
38128 8 0
38136 78000 78000
38204 9 0
38212 8 0
38220 78000 78000
38288 9 0
38296 8 0
38304 78000 78000
38372 9 0
38380 8 0
38388 78000 78000
38456 9 0
38464 8 0
38472 78000 78000
38540 9 0
38548 8 0
38556 78000 78000
38624 9 0
38632 8 0
38640 78000 78000
38708 9 0
38716 8 0
38724 78000 78000
38792 9 0
38800 8 0
38808 78000 78000
38876 9 0
38884 8 0
38892 78000 78000
38960 9 0
38968 8 0
38976 78000 78000
39044 9 0
39052 8 0
39060 78000 78000
39128 9 0
39136 8 0
39144 78000 78000
39212 9 0
39220 8 0
39228 78000 78000
39296 9 0
39304 8 0
39312 78000 78000
39380 9 0
39388 8 0
39396 78000 78000
39464 9 0
39472 8 0
39480 78000 78000
39548 9 0
39556 8 0
39564 78000 78000
39632 9 0
39640 8 0
39648 78000 78000
39716 9 0
39724 8 0
39732 78000 78000
39800 9 0
